Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Queens,Not SWD,2014,6 year June,17189,15262,88.8,14889,86.6,97.6,4985,29.0,32.7,9904,57.6,64.9,373,2.2,2.4,250,1.5,1499,8.7,15,0.1,162,0.9
Queens,Not SWD,2013,6 year June,16443,14200,86.4,13929,84.7,98.1,4351,26.5,30.6,9578,58.2,67.5,271,1.6,1.9,339,2.1,1579,9.6,210,1.3,104,0.6
Queens,Not SWD,2012,6 year June,16353,14118,86.3,13894,85.0,98.4,4071,24.9,28.8,9823,60.1,69.6,224,1.4,1.6,376,2.3,1643,10.0,39,0.2,86,0.5
Queens,SWD,2019,4 year August,3160,2194,69.4,2172,68.7,99.0,218,6.9,9.9,1954,61.8,89.1,22,0.7,1.0,723,22.9,154,4.9,45,1.4,37,1.2
Queens,SWD,2018,4 year August,3287,2245,68.3,2219,67.5,98.8,414,12.6,18.4,1805,54.9,80.4,26,0.8,1.2,736,22.4,179,5.4,70,2.1,51,1.6
Queens,SWD,2017,4 year August,3213,2131,66.3,2086,64.9,97.9,502,15.6,23.6,1584,49.3,74.3,45,1.4,2.1,798,24.8,180,5.6,49,1.5,51,1.6
Queens,SWD,2016,4 year August,3089,1852,60.0,1707,55.3,92.2,256,8.3,13.8,1451,47.0,78.3,145,4.7,7.8,860,27.8,243,7.9,71,2.3,58,1.9
Queens,SWD,2015,4 year August,3091,1726,55.8,1020,33.0,59.1,86,2.8,5.0,934,30.2,54.1,706,22.8,40.9,902,29.2,361,11.7,72,2.3,29,0.9
Queens,SWD,2014,4 year August,3049,1691,55.5,971,31.8,57.4,81,2.7,4.8,890,29.2,52.6,720,23.6,42.6,918,30.1,309,10.1,84,2.8,47,1.5
Queens,SWD,2013,4 year August,2859,1436,50.2,844,29.5,58.8,58,2.0,4.0,786,27.5,54.7,592,20.7,41.2,967,33.8,329,11.5,86,3.0,21,0.7
Queens,SWD,2012,4 year August,2868,1397,48.7,815,28.4,58.3,57,2.0,4.1,758,26.4,54.3,582,20.3,41.7,928,32.4,381,13.3,109,3.8,15,0.5
Queens,SWD,2019,4 year June,3160,2074,65.6,2060,65.2,99.3,218,6.9,10.5,1842,58.3,88.8,14,0.4,0.7,841,26.6,155,4.9,46,1.5,37,1.2
Queens,SWD,2018,4 year June,3287,2123,64.6,2102,63.9,99.0,414,12.6,19.5,1688,51.4,79.5,21,0.6,1.0,857,26.1,180,5.5,70,2.1,51,1.6
Queens,SWD,2017,4 year June,3213,1980,61.6,1937,60.3,97.8,486,15.1,24.5,1451,45.2,73.3,43,1.3,2.2,949,29.5,180,5.6,49,1.5,51,1.6
Queens,SWD,2016,4 year June,3089,1793,58.0,1652,53.5,92.1,255,8.3,14.2,1397,45.2,77.9,141,4.6,7.9,919,29.8,243,7.9,71,2.3,58,1.9
Queens,SWD,2015,4 year June,3091,1613,52.2,971,31.4,60.2,85,2.7,5.3,886,28.7,54.9,642,20.8,39.8,1012,32.7,364,11.8,72,2.3,29,0.9
Queens,SWD,2014,4 year June,3049,1581,51.9,939,30.8,59.4,81,2.7,5.1,858,28.1,54.3,642,21.1,40.6,1028,33.7,309,10.1,84,2.8,47,1.5
Queens,SWD,2013,4 year June,2859,1347,47.1,814,28.5,60.4,56,2.0,4.2,758,26.5,56.3,533,18.6,39.6,1052,36.8,329,11.5,90,3.1,21,0.7
Queens,SWD,2012,4 year June,2868,1290,45.0,778,27.1,60.3,55,1.9,4.3,723,25.2,56.0,512,17.9,39.7,1034,36.1,381,13.3,110,3.8,15,0.5
Queens,SWD,2018,5 year August,3245,2345,72.3,2316,71.4,98.8,415,12.8,17.7,1901,58.6,81.1,29,0.9,1.2,341,10.5,291,9.0,212,6.5,53,1.6
Queens,SWD,2017,5 year August,3103,2198,70.8,2167,69.8,98.6,499,16.1,22.7,1668,53.8,75.9,31,1.0,1.4,339,10.9,294,9.5,205,6.6,63,2.0
