Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
STATEN ISLAND,3,2022,Black,411,586,199,48.4,98,23.8,82,20.0,32,7.8,114,27.7
STATEN ISLAND,3,2022,Hispanic,1140,591,421,36.9,325,28.5,276,24.2,118,10.4,394,34.6
STATEN ISLAND,3,2022,Multi-Racial,85,600,22,25.9,18,21.2,24,28.2,21,24.7,45,52.9
STATEN ISLAND,3,2022,Native American,23,589,9,39.1,5,21.7,8,34.8,1,4.3,9,39.1
STATEN ISLAND,3,2022,White,1580,604,242,15.3,304,19.2,573,36.3,461,29.2,1034,65.4
STATEN ISLAND,4,2022,Asian,674,611,68,10.1,121,18.0,177,26.3,308,45.7,485,72.0
STATEN ISLAND,4,2022,Black,441,583,245,55.6,108,24.5,64,14.5,24,5.4,88,20.0
STATEN ISLAND,4,2022,Hispanic,1245,588,550,44.2,363,29.2,209,16.8,123,9.9,332,26.7
STATEN ISLAND,4,2022,Multi-Racial,98,599,21,21.4,25,25.5,27,27.6,25,25.5,52,53.1
STATEN ISLAND,4,2022,Native American,14,591,6,42.9,3,21.4,5,35.7,0,0.0,5,35.7
STATEN ISLAND,4,2022,White,1625,604,262,16.1,406,25.0,443,27.3,514,31.6,957,58.9
STATEN ISLAND,5,2022,Asian,656,612,80,12.2,126,19.2,156,23.8,294,44.8,450,68.6
STATEN ISLAND,5,2022,Black,518,583,335,64.7,101,19.5,47,9.1,35,6.8,82,15.8
STATEN ISLAND,5,2022,Hispanic,1177,590,594,50.5,294,25.0,178,15.1,111,9.4,289,24.6
STATEN ISLAND,5,2022,Multi-Racial,85,596,34,40.0,16,18.8,17,20.0,18,21.2,35,41.2
STATEN ISLAND,5,2022,Native American,19,591,10,52.6,3,15.8,2,10.5,4,21.1,6,31.6
STATEN ISLAND,5,2022,White,1680,605,363,21.6,418,24.9,421,25.1,478,28.5,899,53.5
STATEN ISLAND,6,2022,Asian,555,609,81,14.6,115,20.7,134,24.1,225,40.5,359,64.7
STATEN ISLAND,6,2022,Black,416,584,272,65.4,86,20.7,37,8.9,21,5.0,58,13.9
STATEN ISLAND,6,2022,Hispanic,1061,590,547,51.6,283,26.7,151,14.2,80,7.5,231,21.8
STATEN ISLAND,6,2022,Multi-Racial,62,595,26,41.9,14,22.6,11,17.7,11,17.7,22,35.5
STATEN ISLAND,6,2022,Native American,18,598,7,38.9,2,11.1,4,22.2,5,27.8,9,50.0
STATEN ISLAND,6,2022,White,1496,603,351,23.5,418,27.9,348,23.3,379,25.3,727,48.6
STATEN ISLAND,7,2022,Asian,579,614,66,11.4,108,18.7,142,24.5,263,45.4,405,69.9
STATEN ISLAND,7,2022,Black,424,588,239,56.4,102,24.1,56,13.2,27,6.4,83,19.6
STATEN ISLAND,7,2022,Hispanic,1097,592,512,46.7,353,32.2,148,13.5,84,7.7,232,21.1
STATEN ISLAND,7,2022,Multi-Racial,66,598,25,37.9,18,27.3,11,16.7,12,18.2,23,34.8
STATEN ISLAND,7,2022,Native American,12,593,6,50.0,4,33.3,1,8.3,1,8.3,2,16.7
STATEN ISLAND,7,2022,White,1592,607,274,17.2,449,28.2,444,27.9,425,26.7,869,54.6
STATEN ISLAND,8,2022,Asian,298,609,62,20.8,72,24.2,93,31.2,71,23.8,164,55.0
STATEN ISLAND,8,2022,Black,275,586,180,65.5,67,24.4,24,8.7,4,1.5,28,10.2
STATEN ISLAND,8,2022,Hispanic,785,591,459,58.5,203,25.9,80,10.2,43,5.5,123,15.7
STATEN ISLAND,8,2022,Multi-Racial,27,593,15,55.6,7,25.9,2,7.4,3,11.1,5,18.5
STATEN ISLAND,8,2022,Native American,7,591,3,42.9,3,42.9,0,0.0,1,14.3,1,14.3
STATEN ISLAND,8,2022,White,756,603,224,29.6,264,34.9,165,21.8,103,13.6,268,35.4
STATEN ISLAND,All Grades,2022,Asian,3364,611,417,12.4,630,18.7,915,27.2,1402,41.7,2317,68.9
STATEN ISLAND,All Grades,2022,Black,2485,585,1470,59.2,562,22.6,310,12.5,143,5.8,453,18.2
STATEN ISLAND,All Grades,2022,Hispanic,6505,590,3083,47.4,1821,28.0,1042,16.0,559,8.6,1601,24.6
STATEN ISLAND,All Grades,2022,Multi-Racial,423,597,143,33.8,98,23.2,92,21.7,90,21.3,182,43.0
STATEN ISLAND,All Grades,2022,Native American,93,592,41,44.1,20,21.5,20,21.5,12,12.9,32,34.4
STATEN ISLAND,All Grades,2022,White,8729,604,1716,19.7,2259,25.9,2394,27.4,2360,27.0,4754,54.5
STATEN ISLAND,3,2019,Asian,497,610,44,8.9,85,17.1,143,28.8,225,45.3,368,74.0
STATEN ISLAND,3,2019,Black,543,590,222,40.9,161,29.7,109,20.1,51,9.4,160,29.5
STATEN ISLAND,3,2019,Hispanic,1347,596,374,27.8,396,29.4,376,27.9,201,14.9,577,42.8
STATEN ISLAND,3,2019,Multi-Racial,77,600,15,19.5,23,29.9,19,24.7,20,26.0,39,50.6
STATEN ISLAND,3,2019,Native American,26,602,5,19.2,7,26.9,5,19.2,9,34.6,14,53.8
STATEN ISLAND,3,2019,White,1944,606,217,11.2,428,22.0,697,35.9,602,31.0,1299,66.8
STATEN ISLAND,4,2019,Asian,509,614,36,7.1,72,14.1,120,23.6,281,55.2,401,78.8
STATEN ISLAND,4,2019,Black,527,593,187,35.5,174,33.0,101,19.2,65,12.3,166,31.5
STATEN ISLAND,4,2019,Hispanic,1389,595,419,30.2,445,32.0,318,22.9,207,14.9,525,37.8
