Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Queens,Hispanic,2014,6 year June,7139,5784,81.0,5267,73.8,91.1,1156,16.2,20.0,4111,57.6,71.1,517,7.2,8.9,204,2.9,972,13.6,80,1.1,98,1.4
Queens,Hispanic,2013,6 year June,7030,5564,79.1,5093,72.4,91.5,1084,15.4,19.5,4009,57.0,72.1,471,6.7,8.5,231,3.3,994,14.1,184,2.6,51,0.7
Queens,Hispanic,2012,6 year June,6957,5458,78.5,5072,72.9,92.9,993,14.3,18.2,4079,58.6,74.7,386,5.5,7.1,288,4.1,966,13.9,131,1.9,49,0.7
Queens,Multi-Racial,2019,4 year August,274,243,88.7,243,88.7,100.0,101,36.9,41.6,142,51.8,58.4,0,0.0,0.0,24,8.8,5,1.8,1,0.4,1,0.4
Queens,Multi-Racial,2018,4 year August,335,311,92.8,311,92.8,100.0,168,50.1,54.0,143,42.7,46.0,0,0.0,0.0,20,6.0,4,1.2,0,0.0,0,0.0
Queens,Multi-Racial,2017,4 year August,373,343,92.0,342,91.7,99.7,213,57.1,62.1,129,34.6,37.6,1,0.3,0.3,24,6.4,4,1.1,1,0.3,1,0.3
Queens,Multi-Racial,2016,4 year August,347,317,91.4,314,90.5,99.1,158,45.5,49.8,156,45.0,49.2,3,0.9,0.9,22,6.3,8,2.3,0,0.0,0,0.0
Queens,Multi-Racial,2015,4 year August,278,239,86.0,227,81.7,95.0,77,27.7,32.2,150,54.0,62.8,12,4.3,5.0,30,10.8,8,2.9,1,0.4,0,0.0
Queens,Multi-Racial,2014,4 year August,240,224,93.3,219,91.3,97.8,80,33.3,35.7,139,57.9,62.1,5,2.1,2.2,13,5.4,1,0.4,2,0.8,0,0.0
Queens,Multi-Racial,2013,4 year August,202,185,91.6,181,89.6,97.8,54,26.7,29.2,127,62.9,68.6,4,2.0,2.2,8,4.0,9,4.5,0,0.0,0,0.0
Queens,Multi-Racial,2012,4 year August,134,117,87.3,113,84.3,96.6,21,15.7,17.9,92,68.7,78.6,4,3.0,3.4,8,6.0,9,6.7,0,0.0,0,0.0
Queens,Multi-Racial,2019,4 year June,274,241,88.0,241,88.0,100.0,101,36.9,41.9,140,51.1,58.1,0,0.0,0.0,26,9.5,5,1.8,1,0.4,1,0.4
Queens,Multi-Racial,2018,4 year June,335,305,91.0,305,91.0,100.0,168,50.1,55.1,137,40.9,44.9,0,0.0,0.0,26,7.8,4,1.2,0,0.0,0,0.0
Queens,Multi-Racial,2017,4 year June,373,335,89.8,334,89.5,99.7,213,57.1,63.6,121,32.4,36.1,1,0.3,0.3,32,8.6,4,1.1,1,0.3,1,0.3
Queens,Multi-Racial,2016,4 year June,347,309,89.0,306,88.2,99.0,158,45.5,51.1,148,42.7,47.9,3,0.9,1.0,30,8.6,8,2.3,0,0.0,0,0.0
Queens,Multi-Racial,2015,4 year June,278,232,83.5,221,79.5,95.3,77,27.7,33.2,144,51.8,62.1,11,4.0,4.7,37,13.3,8,2.9,1,0.4,0,0.0
Queens,Multi-Racial,2014,4 year June,240,221,92.1,217,90.4,98.2,80,33.3,36.2,137,57.1,62.0,4,1.7,1.8,16,6.7,1,0.4,2,0.8,0,0.0
Queens,Multi-Racial,2013,4 year June,202,181,89.6,178,88.1,98.3,54,26.7,29.8,124,61.4,68.5,3,1.5,1.7,12,5.9,9,4.5,0,0.0,0,0.0
Queens,Multi-Racial,2012,4 year June,134,115,85.8,111,82.8,96.5,21,15.7,18.3,90,67.2,78.3,4,3.0,3.5,10,7.5,9,6.7,0,0.0,0,0.0
