Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
STATEN ISLAND,6,2023,Not Econ Disadv,1272,463,126,9.9,274,21.5,565,44.4,307,24.1,872,68.6
STATEN ISLAND,7,2023,Econ Disadv,2142,453,491,22.9,546,25.5,626,29.2,479,22.4,1105,51.6
STATEN ISLAND,7,2023,Not Econ Disadv,1485,469,105,7.1,252,17.0,500,33.7,628,42.3,1128,76.0
STATEN ISLAND,8,2023,Econ Disadv,1461,446,591,40.5,236,16.2,429,29.4,205,14.0,634,43.4
STATEN ISLAND,8,2023,Not Econ Disadv,1002,463,167,16.7,134,13.4,411,41.0,290,28.9,701,70.0
STATEN ISLAND,All Grades,2023,Econ Disadv,13365,450,3604,27.0,3265,24.4,4309,32.2,2187,16.4,6496,48.6
STATEN ISLAND,All Grades,2023,Not Econ Disadv,8208,466,734,8.9,1457,17.8,3414,41.6,2603,31.7,6017,73.3
STATEN ISLAND,3,2022,Econ Disadv,2292,593,800,34.9,553,24.1,600,26.2,339,14.8,939,41.0
STATEN ISLAND,3,2022,Not Econ Disadv,1549,607,153,9.9,285,18.4,576,37.2,535,34.5,1111,71.7
STATEN ISLAND,4,2022,Econ Disadv,2525,593,954,37.8,672,26.6,472,18.7,427,16.9,899,35.6
STATEN ISLAND,4,2022,Not Econ Disadv,1572,607,198,12.6,354,22.5,453,28.8,567,36.1,1020,64.9
STATEN ISLAND,5,2022,Econ Disadv,2495,594,1099,44.0,559,22.4,424,17.0,413,16.6,837,33.5
STATEN ISLAND,5,2022,Not Econ Disadv,1640,606,317,19.3,399,24.3,397,24.2,527,32.1,924,56.3
STATEN ISLAND,6,2022,Econ Disadv,2312,594,1029,44.5,581,25.1,369,16.0,333,14.4,702,30.4
STATEN ISLAND,6,2022,Not Econ Disadv,1296,605,255,19.7,337,26.0,316,24.4,388,29.9,704,54.3
STATEN ISLAND,7,2022,Econ Disadv,2208,596,881,39.9,616,27.9,392,17.8,319,14.4,711,32.2
STATEN ISLAND,7,2022,Not Econ Disadv,1562,609,241,15.4,418,26.8,410,26.2,493,31.6,903,57.8
STATEN ISLAND,8,2022,Econ Disadv,1322,594,678,51.3,342,25.9,192,14.5,110,8.3,302,22.8
STATEN ISLAND,8,2022,Not Econ Disadv,826,602,265,32.1,274,33.2,172,20.8,115,13.9,287,34.7
STATEN ISLAND,All Grades,2022,Econ Disadv,13154,594,5441,41.4,3323,25.3,2449,18.6,1941,14.8,4390,33.4
STATEN ISLAND,All Grades,2022,Not Econ Disadv,8445,606,1429,16.9,2067,24.5,2324,27.5,2625,31.1,4949,58.6
