Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
STATEN ISLAND,6,2023,Not SWD,2901,457,299,10.3,671,23.1,1016,35.0,915,31.5,1931,66.6
STATEN ISLAND,6,2023,SWD,905,432,461,50.9,266,29.4,126,13.9,52,5.7,178,19.7
STATEN ISLAND,7,2023,Not SWD,2810,459,279,9.9,608,21.6,1052,37.4,871,31.0,1923,68.4
STATEN ISLAND,7,2023,SWD,892,435,421,47.2,274,30.7,151,16.9,46,5.2,197,22.1
STATEN ISLAND,8,2023,Not SWD,2769,463,149,5.4,516,18.6,1038,37.5,1066,38.5,2104,76.0
STATEN ISLAND,8,2023,SWD,843,439,266,31.6,336,39.9,181,21.5,60,7.1,241,28.6
STATEN ISLAND,All Grades,2023,Not SWD,17010,459,1532,9.0,3719,21.9,6332,37.2,5427,31.9,11759,69.1
STATEN ISLAND,All Grades,2023,SWD,5679,436,2420,42.6,1828,32.2,1062,18.7,369,6.5,1431,25.2
STATEN ISLAND,3,2022,Not SWD,2753,608,204,7.4,684,24.8,1449,52.6,416,15.1,1865,67.7
STATEN ISLAND,3,2022,SWD,1052,591,339,32.2,395,37.5,280,26.6,38,3.6,318,30.2
STATEN ISLAND,4,2022,Not SWD,3037,605,351,11.6,871,28.7,957,31.5,858,28.3,1815,59.8
STATEN ISLAND,4,2022,SWD,1033,584,477,46.2,347,33.6,148,14.3,61,5.9,209,20.2
STATEN ISLAND,5,2022,Not SWD,3083,610,411,13.3,941,30.5,853,27.7,878,28.5,1731,56.1
STATEN ISLAND,5,2022,SWD,1056,589,587,55.6,308,29.2,101,9.6,60,5.7,161,15.2
STATEN ISLAND,6,2022,Not SWD,2787,612,271,9.7,422,15.1,708,25.4,1386,49.7,2094,75.1
STATEN ISLAND,6,2022,SWD,939,589,474,50.5,222,23.6,151,16.1,92,9.8,243,25.9
STATEN ISLAND,7,2022,Not SWD,2974,614,221,7.4,677,22.8,991,33.3,1085,36.5,2076,69.8
STATEN ISLAND,7,2022,SWD,901,593,349,38.7,369,41.0,135,15.0,48,5.3,183,20.3
STATEN ISLAND,8,2022,Not SWD,2760,609,165,6.0,650,23.6,1013,36.7,932,33.8,1945,70.5
STATEN ISLAND,8,2022,SWD,846,589,303,35.8,334,39.5,169,20.0,40,4.7,209,24.7
STATEN ISLAND,All Grades,2022,Not SWD,17394,610,1623,9.3,4245,24.4,5971,34.3,5555,31.9,11526,66.3
STATEN ISLAND,All Grades,2022,SWD,5827,589,2529,43.4,1975,33.9,984,16.9,339,5.8,1323,22.7
STATEN ISLAND,3,2019,Not SWD,3122,610,144,4.6,691,22.1,1794,57.5,493,15.8,2287,73.3
STATEN ISLAND,3,2019,SWD,1256,589,389,31.0,491,39.1,340,27.1,36,2.9,376,29.9
STATEN ISLAND,4,2019,Not SWD,3227,607,235,7.3,878,27.2,1267,39.3,847,26.2,2114,65.5
STATEN ISLAND,4,2019,SWD,1199,587,475,39.6,471,39.3,207,17.3,46,3.8,253,21.1
STATEN ISLAND,5,2019,Not SWD,3280,609,577,17.6,851,25.9,992,30.2,860,26.2,1852,56.5
STATEN ISLAND,5,2019,SWD,1202,587,748,62.2,289,24.0,126,10.5,39,3.2,165,13.7
STATEN ISLAND,6,2019,Not SWD,3073,610,340,11.1,590,19.2,673,21.9,1470,47.8,2143,69.7
STATEN ISLAND,6,2019,SWD,1191,586,641,53.8,313,26.3,124,10.4,113,9.5,237,19.9
STATEN ISLAND,7,2019,Not SWD,3183,610,359,11.3,886,27.8,1115,35.0,823,25.9,1938,60.9
STATEN ISLAND,7,2019,SWD,1056,587,594,56.3,322,30.5,119,11.3,21,2.0,140,13.3
STATEN ISLAND,8,2019,Not SWD,2969,609,175,5.9,787,26.5,972,32.7,1035,34.9,2007,67.6
STATEN ISLAND,8,2019,SWD,960,589,318,33.1,440,45.8,156,16.3,46,4.8,202,21.0
STATEN ISLAND,All Grades,2019,Not SWD,18854,609,1830,9.7,4683,24.8,6813,36.1,5528,29.3,12341,65.5
STATEN ISLAND,All Grades,2019,SWD,6864,587,3165,46.1,2326,33.9,1072,15.6,301,4.4,1373,20.0
STATEN ISLAND,3,2018,Not SWD,3234,609,190,5.9,820,25.4,1798,55.6,426,13.2,2224,68.8
STATEN ISLAND,3,2018,SWD,1173,589,407,34.7,439,37.4,315,26.9,12,1.0,327,27.9
STATEN ISLAND,4,2018,Not SWD,3304,611,197,6.0,814,24.6,1188,36.0,1105,33.4,2293,69.4
STATEN ISLAND,4,2018,SWD,1216,589,436,35.9,485,39.9,229,18.8,66,5.4,295,24.3
STATEN ISLAND,5,2018,Not SWD,3263,609,478,14.6,1014,31.1,1026,31.4,745,22.8,1771,54.3
STATEN ISLAND,5,2018,SWD,1275,589,734,57.6,362,28.4,137,10.7,42,3.3,179,14.0
STATEN ISLAND,6,2018,Not SWD,3114,611,254,8.2,648,20.8,787,25.3,1425,45.8,2212,71.0
STATEN ISLAND,6,2018,SWD,1090,589,530,48.6,324,29.7,145,13.3,91,8.3,236,21.7
STATEN ISLAND,7,2018,Not SWD,3036,610,319,10.5,862,28.4,1170,38.5,685,22.6,1855,61.1
STATEN ISLAND,7,2018,SWD,1046,590,495,47.3,397,38.0,133,12.7,21,2.0,154,14.7
STATEN ISLAND,8,2018,Not SWD,2948,610,159,5.4,770,26.1,962,32.6,1057,35.9,2019,68.5
STATEN ISLAND,8,2018,SWD,973,590,306,31.4,465,47.8,158,16.2,44,4.5,202,20.8
STATEN ISLAND,All Grades,2018,Not SWD,18899,610,1597,8.5,4928,26.1,6931,36.7,5443,28.8,12374,65.5
