Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
STATEN ISLAND,3,2018,Asian,443,611,25,5.6,94,21.2,249,56.2,75,16.9,324,73.1
STATEN ISLAND,3,2018,Black,543,595,133,24.5,183,33.7,202,37.2,25,4.6,227,41.8
STATEN ISLAND,3,2018,Hispanic,1381,597,284,20.6,492,35.6,536,38.8,69,5.0,605,43.8
STATEN ISLAND,3,2018,Multi-Racial,96,603,13,13.5,25,26.0,49,51.0,9,9.4,58,60.4
STATEN ISLAND,3,2018,Native American,20,600,2,10.0,9,45.0,8,40.0,1,5.0,9,45.0
STATEN ISLAND,3,2018,White,1924,608,140,7.3,456,23.7,1069,55.6,259,13.5,1328,69.0
STATEN ISLAND,4,2018,Asian,436,611,32,7.3,98,22.5,160,36.7,146,33.5,306,70.2
STATEN ISLAND,4,2018,Black,572,595,154,26.9,223,39.0,129,22.6,66,11.5,195,34.1
STATEN ISLAND,4,2018,Hispanic,1454,599,307,21.1,490,33.7,406,27.9,251,17.3,657,45.2
STATEN ISLAND,4,2018,Multi-Racial,79,608,8,10.1,17,21.5,32,40.5,22,27.8,54,68.4
STATEN ISLAND,4,2018,Native American,24,594,8,33.3,7,29.2,6,25.0,3,12.5,9,37.5
STATEN ISLAND,4,2018,White,1955,611,124,6.3,464,23.7,684,35.0,683,34.9,1367,69.9
STATEN ISLAND,5,2018,Asian,443,611,59,13.3,115,26.0,144,32.5,125,28.2,269,60.7
STATEN ISLAND,5,2018,Black,604,594,286,47.4,188,31.1,83,13.7,47,7.8,130,21.5
STATEN ISLAND,5,2018,Hispanic,1313,598,476,36.3,452,34.4,279,21.2,106,8.1,385,29.3
STATEN ISLAND,5,2018,Multi-Racial,75,607,20,26.7,17,22.7,18,24.0,20,26.7,38,50.7
STATEN ISLAND,5,2018,Native American,21,599,9,42.9,6,28.6,3,14.3,3,14.3,6,28.6
STATEN ISLAND,5,2018,White,2082,608,362,17.4,598,28.7,636,30.5,486,23.3,1122,53.9
STATEN ISLAND,6,2018,Asian,403,613,34,8.4,65,16.1,105,26.1,199,49.4,304,75.4
STATEN ISLAND,6,2018,Black,466,593,185,39.7,129,27.7,79,17.0,73,15.7,152,32.6
STATEN ISLAND,6,2018,Hispanic,1159,599,324,28.0,314,27.1,242,20.9,279,24.1,521,45.0
STATEN ISLAND,6,2018,Multi-Racial,56,610,6,10.7,9,16.1,16,28.6,25,44.6,41,73.2
STATEN ISLAND,6,2018,Native American,12,604,4,33.3,0,0.0,4,33.3,4,33.3,8,66.7
STATEN ISLAND,6,2018,White,2108,609,231,11.0,455,21.6,486,23.1,936,44.4,1422,67.5
STATEN ISLAND,7,2018,Asian,375,614,33,8.8,88,23.5,114,30.4,140,37.3,254,67.7
STATEN ISLAND,7,2018,Black,500,594,189,37.8,181,36.2,106,21.2,24,4.8,130,26.0
STATEN ISLAND,7,2018,Hispanic,1092,599,308,28.2,398,36.4,300,27.5,86,7.9,386,35.3
STATEN ISLAND,7,2018,Multi-Racial,48,607,12,25.0,9,18.8,15,31.3,12,25.0,27,56.3
STATEN ISLAND,7,2018,Native American,13,598,7,53.8,3,23.1,1,7.7,2,15.4,3,23.1
STATEN ISLAND,7,2018,White,2054,609,265,12.9,580,28.2,767,37.3,442,21.5,1209,58.9
STATEN ISLAND,8,2018,Asian,376,615,27,7.2,58,15.4,101,26.9,190,50.5,291,77.4
STATEN ISLAND,8,2018,Black,502,595,118,23.5,216,43.0,112,22.3,56,11.2,168,33.5
STATEN ISLAND,8,2018,Hispanic,974,599,166,17.0,381,39.1,258,26.5,169,17.4,427,43.8
STATEN ISLAND,8,2018,Multi-Racial,26,602,2,7.7,11,42.3,6,23.1,7,26.9,13,50.0
STATEN ISLAND,8,2018,Native American,24,605,2,8.3,5,20.8,12,50.0,5,20.8,17,70.8
STATEN ISLAND,8,2018,White,2019,608,150,7.4,564,27.9,631,31.3,674,33.4,1305,64.6
STATEN ISLAND,All Grades,2018,Asian,2476,612,210,8.5,518,20.9,873,35.3,875,35.3,1748,70.6
STATEN ISLAND,All Grades,2018,Black,3187,594,1065,33.4,1120,35.1,711,22.3,291,9.1,1002,31.4
STATEN ISLAND,All Grades,2018,Hispanic,7373,598,1865,25.3,2527,34.3,2021,27.4,960,13.0,2981,40.4
STATEN ISLAND,All Grades,2018,Multi-Racial,380,606,61,16.1,88,23.2,136,35.8,95,25.0,231,60.8
STATEN ISLAND,All Grades,2018,Native American,114,600,32,28.1,30,26.3,34,29.8,18,15.8,52,45.6
STATEN ISLAND,All Grades,2018,White,12142,609,1272,10.5,3117,25.7,4273,35.2,3480,28.7,7753,63.9
